appid,required_age,is_free,price,developers,categories,release_date,genres,name,Historico,review_score,review_score_desc,total_reviews,categories_numerico,genres_numerico
730,0,True,0,Valve,"('Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Steam Timeline')",2012-08-21 00:00:00,"('Action', 'Free To Play')",Counter-Strike 2,1862531,8,Very Positive,1378000,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17)","(0, 1)"
730,0,True,0,Valve,"('Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Steam Timeline')",2012-08-21 00:00:00,"('Action', 'Free To Play')",Counter-Strike,319586,8,Very Positive,1378000,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17)","(0, 1)"
570,0,True,0,Valve,"('Multi-player', 'Co-op', 'Steam Trading Cards', 'Steam Workshop', 'SteamVR Collectibles', 'In-App Purchases', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Valve Anti-Cheat enabled', 'Steam Timeline')",2013-07-09 00:00:00,"('Action', 'Strategy', 'Free To Play')",Dota 2,1295114,8,Very Positive,6095,"(0, 18, 2, 3, 19, 4, 6, 7, 8, 12, 17)","(0, 2, 1)"
578080,13,True,0,PUBG Corporation,"('Multi-player', 'PvP', 'Online PvP', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet')",2017-12-21 00:00:00,"('Action', 'Adventure', 'Massively Multiplayer', 'Free To Play')",PUBG: BATTLEGROUNDS,3257248,5,Mixed,278049,"(0, 20, 21, 13, 14, 15)","(0, 3, 4, 1)"
2507950,0,True,0,Team Jade,"('Single-player', 'Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases')",2024-12-04 00:00:00,"('Action', 'Adventure', 'Massively Multiplayer', 'Free To Play')",Delta Force,247028,0,No user reviews,0,"(22, 0, 23, 20, 21, 18, 24, 1, 25, 26, 2, 4)","(0, 3, 4, 1)"
1172470,0,True,0,Respawn,"('Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Chat Speech-to-text', 'Playable without Timed Input')",2020-11-04 00:00:00,"('Action', 'Adventure', 'Free To Play')",Apex Legends,624473,6,Mostly Positive,1032,"(0, 20, 21, 18, 24, 25, 26, 2, 4, 27, 9)","(0, 3, 1)"
3564740,0,True,0,Everstone Studio,"('Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'In-App Purchases')",2025-11-14 00:00:00,"('Action', 'Adventure', 'RPG', 'Free To Play')",Where Winds Meet,193860,0,No user reviews,0,"(22, 0, 20, 21, 18, 24, 1, 25, 26, 4)","(0, 3, 5, 1)"
2807960,0,False,62900,Battlefield Studios,"('Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'In-App Purchases', 'Camera Comfort', 'Chat Speech-to-text', 'Chat Text-to-speech', 'Color Alternatives', 'Custom Volume Controls', 'Adjustable Difficulty', 'Keyboard Only Option', 'Playable without Timed Input', 'Stereo Sound', 'Subtitle Options', 'Surround Sound', 'Steam Cloud', 'HDR available')",2025-10-10 00:00:00,"('Action',)",Battlefield™ 6,747440,6,Mostly Positive,101212,"(22, 0, 20, 21, 1, 25, 26, 4, 6, 27, 28, 7, 8, 29, 30, 9, 10, 31, 11, 32, 33)","(0,)"
431960,0,False,3000,Wallpaper Engine Team,"('Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Workshop', 'Includes level editor')",2018-11-16 00:00:00,"('Casual', 'Indie', 'Animation & Modeling', 'Design & Illustration', 'Photo Editing', 'Utilities')",Wallpaper Engine,150375,9,Overwhelmingly Positive,214926,"(25, 2, 3, 3, 34)","(6, 7, 8, 9, 10, 11)"
3419430,0,True,0,Marcel Zurawka,"('Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Partial Controller Support', 'Stats')",2025-03-05 00:00:00,"('Casual', 'Indie', 'Massively Multiplayer', 'Simulation', 'Free To Play')",Bongo Cat,194508,0,No user reviews,0,"(22, 0, 18, 24, 25, 35, 13)","(6, 7, 4, 12, 1)"
1203220,0,True,0,24 Entertainment,"('Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Partial Controller Support', 'HDR available')",2021-08-11 00:00:00,"('Action', 'Adventure', 'Massively Multiplayer', 'Free To Play')",NARAKA: BLADEPOINT,385770,8,Very Positive,12896,"(0, 20, 21, 25, 2, 4, 35, 33)","(0, 3, 4, 1)"
3167020,0,False,12360,Team Soda,"('Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Custom Volume Controls', 'Adjustable Difficulty', 'Stereo Sound', 'Steam Cloud', 'Family Sharing')",2025-10-16 00:00:00,"('Action', 'Adventure', 'Indie', 'RPG')",Escape from Duckov,301322,9,Overwhelmingly Positive,6254,"(22, 25, 2, 3, 8, 29, 10, 32, 36)","(0, 3, 7, 5)"
