appid,review_score,review_score_desc,total_reviews
730,8,Very Positive,1378000
570,8,Very Positive,6095
578080,5,Mixed,278049
2507950,0,No user reviews,0
1172470,6,Mostly Positive,1032
1808500,8,Very Positive,66686
3564740,0,No user reviews,0
2807960,6,Mostly Positive,101212
431960,9,Overwhelmingly Positive,214926
3419430,0,No user reviews,0
1203220,8,Very Positive,12896
252490,8,Very Positive,503344
3167020,9,Overwhelmingly Positive,6254
413150,9,Overwhelmingly Positive,367659
230410,8,Very Positive,1141
3898830,0,No user reviews,0
236390,5,Mixed,800
3240220,6,Mostly Positive,35681
1507780,8,Very Positive,654
3606480,4,Mostly Negative,913
381210,6,Mostly Positive,238739
238960,8,Very Positive,545
3551340,4,Mostly Negative,5365
322330,9,Overwhelmingly Positive,79122
2767030,0,No user reviews,0
438100,8,Very Positive,110
3241660,9,Overwhelmingly Positive,97468
3527290,8,Very Positive,84686
1174180,8,Very Positive,268343
1973530,0,No user reviews,0
2799860,9,Overwhelmingly Positive,950
1366800,8,Very Positive,18944
3037410,5,Mixed,246
440,6,Mostly Positive,26110
289070,8,Very Positive,103460
1623730,9,Overwhelmingly Positive,143978
394360,8,Very Positive,114774
1086940,9,Overwhelmingly Positive,422454
3932890,5,Mixed,4023
1281930,0,No user reviews,0
322170,8,Very Positive,203144
2622380,8,Very Positive,62626
359550,8,Very Positive,620747
3450310,8,Very Positive,6749
3405690,5,Mixed,5657
1364780,8,Very Positive,18485
221100,6,Mostly Positive,171209
227300,9,Overwhelmingly Positive,132862
1771300,8,Very Positive,46582
1158310,8,Very Positive,46121
1091500,8,Very Positive,354726
2357570,5,Mixed,126
105600,9,Overwhelmingly Positive,569200
1245620,8,Very Positive,415422
1905180,0,No user reviews,0
2246340,5,Mixed,74204
261550,8,Very Positive,92491
1203620,8,Very Positive,40059
2073620,0,No user reviews,0
2300320,8,Very Positive,10759
251570,8,Very Positive,121241
294100,9,Overwhelmingly Positive,111324
582010,8,Very Positive,111685
218620,8,Very Positive,172424
1222670,8,Very Positive,45440
632360,8,Very Positive,150682
346110,8,Very Positive,250407
1030300,8,Very Positive,108079
594650,6,Mostly Positive,91063
1449850,0,No user reviews,0
550,9,Overwhelmingly Positive,219065
2473420,4,Mostly Negative,227
1142710,5,Mixed,56348
108600,8,Very Positive,135963
2139460,7,Positive,21
3274580,5,Mixed,2094
1145350,9,Overwhelmingly Positive,49984
1325860,8,Very Positive,70
489830,8,Very Positive,120068
2399830,5,Mixed,46940
250900,9,Overwhelmingly Positive,133136
2358720,8,Very Positive,66200
766570,0,No user reviews,0
1049590,7,Positive,19
2669320,5,Mixed,28236
1260320,8,Very Positive,16215
3472040,5,Mixed,2534
367520,9,Overwhelmingly Positive,160990
813780,9,Overwhelmingly Positive,57324
284160,9,Overwhelmingly Positive,179099
582660,6,Mostly Positive,34872
553850,8,Very Positive,594812
4000,9,Overwhelmingly Positive,509920
2592160,9,Overwhelmingly Positive,53226
646570,9,Overwhelmingly Positive,68760
892970,8,Very Positive,248578
2878980,5,Mixed,13327
3405340,8,Very Positive,29810
2584990,0,4 user reviews,4
292030,9,Overwhelmingly Positive,228071
1818450,0,1 user reviews,1
513710,6,Mostly Positive,36465
365670,8,Very Positive,71
240,9,Overwhelmingly Positive,43390
1665460,4,Mostly Negative,368
629520,9,Overwhelmingly Positive,27053
1466860,8,Very Positive,26094
427520,9,Overwhelmingly Positive,110257
1903340,9,Overwhelmingly Positive,69194
377160,8,Very Positive,172906
1422450,0,No user reviews,0
1623660,0,No user reviews,0
526870,9,Overwhelmingly Positive,123246
1326470,8,Very Positive,106384
275850,8,Very Positive,171690
8930,9,Overwhelmingly Positive,77152
