clave,genero
Multi-player,0
Cross-Platform Multiplayer,1
Steam Trading Cards,2
Steam Workshop,3
In-App Purchases,4
Adjustable Text Size,5
Camera Comfort,6
Color Alternatives,7
Custom Volume Controls,8
Playable without Timed Input,9
Stereo Sound,10
Surround Sound,11
Valve Anti-Cheat enabled,12
Stats,13
Remote Play on Phone,14
Remote Play on Tablet,15
Remote Play on TV,16
Steam Timeline,17
Co-op,18
SteamVR Collectibles,19
PvP,20
Online PvP,21
Single-player,22
MMO,23
Online Co-op,24
Steam Achievements,25
Full controller support,26
Chat Speech-to-text,27
Chat Text-to-speech,28
Adjustable Difficulty,29
Keyboard Only Option,30
Subtitle Options,31
Steam Cloud,32
HDR available,33
Includes level editor,34
Partial Controller Support,35
Family Sharing,36
Singleplayer,37
Multiplayer,38
OS-onafhankelijke multiplayer,39
Aangepaste volumebesturing,40
Optie voor alleen toetsenbord,41
Optie voor alleen muis,42
Speelbaar zonder tijdgevoelige invoer,43
Altijd opslaan,44
Stereogeluid,45
Optie voor alleen touchbesturing,46
Gezinsbibliotheek,47
VR Supported,48
Save Anytime,49
Tracked Controller Support,50
Captions available,51
Commentary available,52
LAN Co-op,53
Remote Play Together,54
Shared/Split Screen PvP,55
Shared/Split Screen Co-op,56
Shared/Split Screen,57
LAN PvP,58
Steam Leaderboards,59
Mouse Only Option,60
Downloadable Content,61
Narrated Game Menus,62
Includes Source SDK,63
Touch Only Option,64
VR Only,65
Game demo,66
Pemain Tunggal,67
Multipemain,68
PvP Online,69
Co-op Online,70
Multipemain Lintas Platform,71
Pencapaian Steam,72
Dukungan kontroler penuh,73
Takarir tersedia,74
Pembelian dalam Aplikasi,75
Steam Turn Notifications,76
VR Support,77
